PC1,PC2,Total_Nitrogen,Total_Carbon,Acidified_Nitrogen,Acidified_Carbon
-0.993673737908839,0.36567436898987776,0.12217816,1.532261252,0.09547013,1.259686112
-2.404994477670754,-2.3115153297270425,0.067012556,0.777820528,0.066294365,0.766555488
-1.0304903923312516,-1.954121425493989,0.076936819,1.096030235,0.075202979,1.030885339
-4.582808586167934,1.2029820858899833,0.059239287,0.800607383,0.059408206,0.770850301
5.877179644015547,5.298751023566702,0.121047981,1.758603454,0.118320182,1.701225996
-1.1573893925265601,0.34687158196774664,0.125406504,2.02545476,0.122022085,1.935637474
-3.7262562991766845,-2.356277020779494,0.114786394,1.669228077,0.107812099,1.6381073
-5.538789312151332,-3.807667902872359,0.098423652,1.325275064,0.082360841,1.155374289
5.268478608271725,1.2344175387944545,0.105798706,1.573908329,0.092777744,1.3948704
-1.5262035332386226,2.738342174281923,0.064329393,1.107821226,0.062165555,1.068474531
4.474363419504083,-0.39110129207802224,0.072069563,0.994910002,0.064353675,0.908115447
-1.134312176919003,-0.11448152266331177,0.076868646,1.154336572,0.078967981,1.144044719
4.465844494937297,-0.749413545571363,0.083453797,1.134978533,0.080214299,1.11120069
-3.1366606071324408,-1.2742577889414453,0.10887982,1.533131719,0.099327013,1.478347778
-9.36116894198185,-4.923115049415651,0.081956595,1.187265515,0.084747002,1.181206465
-2.2688016684340724,-1.9449150499314847,0.089773983,1.393497944,0.089024745,1.358970165
-6.819190652295859,-0.31975637954240566,NA,NA,0.089299887,1.366287231
1.237126156458273,0.8362141703504679,0.099135943,1.410761595,0.096384056,1.3912673
1.2344962302180056,-1.8098560187177783,0.11724823,1.702342033,0.107248068,1.696479321
0.04431476731054348,-2.8755226210913,0.18992877,2.443066597,0.16587612,NA
4.446135107634312,-1.473847263924155,0.083542556,1.041612864,0.075982295,1.023132682
-1.2425961446601335,-3.2264803149561025,0.075382516,0.886185467,0.071941108,0.830462277
1.2104737374598322,-3.499702103855909,0.135525361,1.752290845,0.118797153,1.73558259
5.540853880591953,-1.8970454820790776,0.107576907,1.404761791,0.096984036,1.356769681
-2.2574330441720813,-6.374700513815998,0.105610676,1.347729802,0.097682208,1.337931037
3.206289041219263,-3.157822662378069,0.123816215,1.747735739,0.112179592,NA
4.035866777770879,-2.898183841213874,NA,NA,NA,NA
-1.8148237440016999,-4.175473945887575,0.079983458,1.104146123,0.078044496,1.056340218
5.263948488041151,10.244029422533027,0.111362152,1.56537962,0.105774701,1.520758152
-1.146680359469998,6.296647493464183,0.089585364,1.244211793,0.081446305,1.194234133
1.2957143339441806,7.8157097822842,0.073828802,0.88700527,0.071086884,0.872348964
9.457632635075736,6.466512149297895,0.067318216,0.861555219,0.067538537,0.852307975
7.382169162069705,7.021948891575521,0.050606627,0.731452823,0.050177243,0.717493057
17.918771050889923,-0.04895500282013897,0.060053453,0.850965381,0.060773056,0.815972805
14.735278548006434,2.606023435901497,0.048621301,0.667009532,0.043460533,0.64078414400000006
19.23252900779385,-0.7270940576447766,0.029141448,0.39781186,0.027387846,0.35666126
13.024269550471924,6.5398809493164265,0.050469335,0.613670886,0.040731862,0.523956954
0.8852458801705041,4.133174608704286,0.113378458,1.571583271,0.106074043,1.537894249
-2.085349482342639,4.233620744978387,0.125442475,1.773758292,0.113154404,1.765477777
4.443857482545606,5.8229874699908235,0.073292241,1.067504883,0.072021194,1.010210276
8.400120757336452,13.43088956807876,0.066302307,0.876038432,0.061719049,0.854690015
-9.379851984433143,0.9683712603109036,0.068218112,0.942059159,0.062828094,0.856755078
3.7517333267291817,-1.4871554766365935,0.068588428,0.902218521,0.070244893,0.901376204
5.064386802673385,1.5643036158631933,0.066601671,1.047410846,0.060997728,0.958708227
-0.6275287113338262,-4.178803614243735,0.082045108,1.192955256,0.072419688,1.101254463
-0.9657840132041421,-1.214305659717915,0.084465317,1.335319757,0.080117017,1.23113358
-0.3061260720095243,-0.21340088647156108,0.103029937,1.568359137,0.089194551,1.481908917
-2.326495409236148,6.360843256230937,0.08025226,1.332967281,0.075608149,1.286174655
-5.885370550457643,1.5589592467610043,0.074026354,1.052165627,0.070135623,0.997084498
